image_path,xmin,ymin,xmax,ymax,mzl_label,segm_idx,tablet_CDLI,view_desc
P337153_26_0_0.jpg,228.0,233.0,292.0,309.0,839.0,26,P337153,Obv
P337153_26_0_0.jpg,278.0,225.0,372.0,288.0,113.0,26,P337153,Obv
P337153_26_0_0.jpg,361.0,227.0,458.0,294.0,10.0,26,P337153,Obv
P337153_26_0_0.jpg,439.0,220.0,512.0,289.0,15.0,26,P337153,Obv
P337153_26_0_0.jpg,187.0,301.0,311.0,379.0,815.0,26,P337153,Obv
P337153_26_0_0.jpg,302.0,289.0,364.0,378.0,851.0,26,P337153,Obv
P337153_26_0_0.jpg,364.0,283.0,421.0,367.0,839.0,26,P337153,Obv
P337153_26_0_0.jpg,419.0,278.0,477.0,365.0,839.0,26,P337153,Obv
P337153_26_0_0.jpg,198.0,375.0,288.0,442.0,10.0,26,P337153,Obv
P337153_26_0_0.jpg,267.0,364.0,390.0,433.0,887.0,26,P337153,Obv
P337153_26_0_0.jpg,362.0,350.0,458.0,423.0,484.0,26,P337153,Obv
P337153_26_0_0.jpg,449.0,342.0,505.0,424.0,839.0,26,P337153,Obv
P337153_26_0_0.jpg,201.0,443.0,289.0,507.0,298.0,26,P337153,Obv
P337153_26_0_0.jpg,278.0,425.0,387.0,510.0,85.0,26,P337153,Obv
P337153_26_0_0.jpg,376.0,417.0,467.0,496.0,737.0,26,P337153,Obv
P337153_26_0_256.jpg,22.0,225.0,116.0,288.0,113.0,26,P337153,Obv
P337153_26_0_256.jpg,105.0,227.0,202.0,294.0,10.0,26,P337153,Obv
P337153_26_0_256.jpg,183.0,220.0,272.0,289.0,15.0,26,P337153,Obv
P337153_26_0_256.jpg,276.0,212.0,369.0,273.0,566.0,26,P337153,Obv
P337153_26_0_256.jpg,368.0,218.0,472.0,275.0,71.0,26,P337153,Obv
P337153_26_0_256.jpg,46.0,289.0,108.0,378.0,851.0,26,P337153,Obv
P337153_26_0_256.jpg,108.0,283.0,165.0,367.0,839.0,26,P337153,Obv
P337153_26_0_256.jpg,163.0,278.0,221.0,365.0,839.0,26,P337153,Obv
P337153_26_0_256.jpg,214.0,259.0,335.0,349.0,253.0,26,P337153,Obv
P337153_26_0_256.jpg,331.0,267.0,405.0,349.0,851.0,26,P337153,Obv
P337153_26_0_256.jpg,412.0,262.0,474.0,342.0,839.0,26,P337153,Obv
P337153_26_0_256.jpg,11.0,364.0,134.0,433.0,887.0,26,P337153,Obv
P337153_26_0_256.jpg,106.0,350.0,202.0,423.0,484.0,26,P337153,Obv
P337153_26_0_256.jpg,193.0,342.0,249.0,424.0,839.0,26,P337153,Obv
P337153_26_0_256.jpg,234.0,335.0,333.0,423.0,110.0,26,P337153,Obv
P337153_26_0_256.jpg,307.0,333.0,390.0,421.0,755.0,26,P337153,Obv
P337153_26_0_256.jpg,381.0,331.0,480.0,406.0,85.0,26,P337153,Obv
P337153_26_0_256.jpg,22.0,425.0,131.0,510.0,85.0,26,P337153,Obv
P337153_26_0_256.jpg,120.0,417.0,211.0,496.0,737.0,26,P337153,Obv
P337153_26_0_256.jpg,197.0,411.0,310.0,487.0,111.0,26,P337153,Obv
P337153_26_0_256.jpg,290.0,406.0,394.0,485.0,296.0,26,P337153,Obv
P337153_26_0_256.jpg,386.0,408.0,488.0,482.0,181.0,26,P337153,Obv
P337153_26_0_512.jpg,20.0,212.0,113.0,273.0,566.0,26,P337153,Obv
P337153_26_0_512.jpg,112.0,218.0,216.0,275.0,71.0,26,P337153,Obv
P337153_26_0_512.jpg,75.0,267.0,149.0,349.0,851.0,26,P337153,Obv
P337153_26_0_512.jpg,156.0,262.0,218.0,342.0,839.0,26,P337153,Obv
P337153_26_0_512.jpg,0.0,335.0,77.0,423.0,110.0,26,P337153,Obv
P337153_26_0_512.jpg,51.0,333.0,134.0,421.0,755.0,26,P337153,Obv
P337153_26_0_512.jpg,125.0,331.0,224.0,406.0,85.0,26,P337153,Obv
P337153_26_0_512.jpg,34.0,406.0,138.0,485.0,296.0,26,P337153,Obv
P337153_26_0_512.jpg,130.0,408.0,232.0,482.0,181.0,26,P337153,Obv
P337153_26_256_0.jpg,187.0,45.0,311.0,123.0,815.0,26,P337153,Obv
P337153_26_256_0.jpg,302.0,33.0,364.0,122.0,851.0,26,P337153,Obv
P337153_26_256_0.jpg,364.0,27.0,421.0,111.0,839.0,26,P337153,Obv
P337153_26_256_0.jpg,419.0,22.0,477.0,109.0,839.0,26,P337153,Obv
P337153_26_256_0.jpg,198.0,119.0,288.0,186.0,10.0,26,P337153,Obv
P337153_26_256_0.jpg,267.0,108.0,390.0,177.0,887.0,26,P337153,Obv
P337153_26_256_0.jpg,362.0,94.0,458.0,167.0,484.0,26,P337153,Obv
P337153_26_256_0.jpg,449.0,86.0,505.0,168.0,839.0,26,P337153,Obv
P337153_26_256_0.jpg,201.0,187.0,289.0,251.0,298.0,26,P337153,Obv
P337153_26_256_0.jpg,278.0,169.0,387.0,254.0,85.0,26,P337153,Obv
P337153_26_256_0.jpg,376.0,161.0,467.0,240.0,737.0,26,P337153,Obv
P337153_26_256_0.jpg,188.0,242.0,282.0,318.0,566.0,26,P337153,Obv
P337153_26_256_0.jpg,280.0,241.0,324.0,311.0,748.0,26,P337153,Obv
P337153_26_256_0.jpg,314.0,259.0,348.0,298.0,1.0,26,P337153,Obv
P337153_26_256_0.jpg,341.0,242.0,418.0,314.0,151.0,26,P337153,Obv
P337153_26_256_0.jpg,409.0,230.0,490.0,298.0,92.0,26,P337153,Obv
P337153_26_256_0.jpg,216.0,316.0,292.0,385.0,10.0,26,P337153,Obv
P337153_26_256_0.jpg,273.0,305.0,373.0,385.0,887.0,26,P337153,Obv
P337153_26_256_0.jpg,362.0,307.0,452.0,380.0,828.0,26,P337153,Obv
P337153_26_256_0.jpg,195.0,382.0,243.0,463.0,839.0,26,P337153,Obv
P337153_26_256_0.jpg,248.0,378.0,298.0,463.0,839.0,26,P337153,Obv
P337153_26_256_0.jpg,296.0,381.0,404.0,443.0,358.0,26,P337153,Obv
P337153_26_256_0.jpg,406.0,372.0,465.0,443.0,869.0,26,P337153,Obv
P337153_26_256_0.jpg,192.0,459.0,252.0,504.0,1.0,26,P337153,Obv
P337153_26_256_0.jpg,255.0,447.0,365.0,512.0,495.0,26,P337153,Obv
P337153_26_256_0.jpg,358.0,442.0,487.0,512.0,553.0,26,P337153,Obv
P337153_26_256_256.jpg,46.0,33.0,108.0,122.0,851.0,26,P337153,Obv
P337153_26_256_256.jpg,108.0,27.0,165.0,111.0,839.0,26,P337153,Obv
P337153_26_256_256.jpg,163.0,22.0,221.0,109.0,839.0,26,P337153,Obv
P337153_26_256_256.jpg,214.0,3.0,335.0,93.0,253.0,26,P337153,Obv
P337153_26_256_256.jpg,331.0,11.0,405.0,93.0,851.0,26,P337153,Obv
P337153_26_256_256.jpg,412.0,6.0,474.0,86.0,839.0,26,P337153,Obv
P337153_26_256_256.jpg,11.0,108.0,134.0,177.0,887.0,26,P337153,Obv
P337153_26_256_256.jpg,106.0,94.0,202.0,167.0,484.0,26,P337153,Obv
P337153_26_256_256.jpg,193.0,86.0,249.0,168.0,839.0,26,P337153,Obv
P337153_26_256_256.jpg,234.0,79.0,333.0,167.0,110.0,26,P337153,Obv
P337153_26_256_256.jpg,307.0,77.0,390.0,165.0,755.0,26,P337153,Obv
P337153_26_256_256.jpg,381.0,75.0,480.0,150.0,85.0,26,P337153,Obv
P337153_26_256_256.jpg,22.0,169.0,131.0,254.0,85.0,26,P337153,Obv
P337153_26_256_256.jpg,120.0,161.0,211.0,240.0,737.0,26,P337153,Obv
P337153_26_256_256.jpg,197.0,155.0,310.0,231.0,111.0,26,P337153,Obv
P337153_26_256_256.jpg,290.0,150.0,394.0,229.0,296.0,26,P337153,Obv
P337153_26_256_256.jpg,386.0,152.0,488.0,226.0,181.0,26,P337153,Obv
P337153_26_256_256.jpg,24.0,241.0,68.0,311.0,748.0,26,P337153,Obv
P337153_26_256_256.jpg,58.0,259.0,92.0,298.0,1.0,26,P337153,Obv
P337153_26_256_256.jpg,85.0,242.0,162.0,314.0,151.0,26,P337153,Obv
P337153_26_256_256.jpg,153.0,230.0,234.0,298.0,92.0,26,P337153,Obv
P337153_26_256_256.jpg,236.0,239.0,311.0,284.0,1.0,26,P337153,Obv
P337153_26_256_256.jpg,316.0,227.0,377.0,292.0,708.0,26,P337153,Obv
P337153_26_256_256.jpg,365.0,218.0,434.0,293.0,578.0,26,P337153,Obv
P337153_26_256_256.jpg,427.0,240.0,452.0,279.0,1.0,26,P337153,Obv
P337153_26_256_256.jpg,448.0,219.0,512.0,311.0,151.0,26,P337153,Obv
P337153_26_256_256.jpg,17.0,305.0,117.0,385.0,887.0,26,P337153,Obv
P337153_26_256_256.jpg,106.0,307.0,196.0,380.0,828.0,26,P337153,Obv
P337153_26_256_256.jpg,198.0,285.0,306.0,373.0,15.0,26,P337153,Obv
P337153_26_256_256.jpg,294.0,288.0,341.0,358.0,661.0,26,P337153,Obv
P337153_26_256_256.jpg,341.0,286.0,450.0,366.0,150.0,26,P337153,Obv
P337153_26_256_256.jpg,0.0,378.0,42.0,463.0,839.0,26,P337153,Obv
P337153_26_256_256.jpg,40.0,381.0,148.0,443.0,358.0,26,P337153,Obv
P337153_26_256_256.jpg,150.0,372.0,209.0,443.0,869.0,26,P337153,Obv
P337153_26_256_256.jpg,228.0,395.0,278.0,429.0,1.0,26,P337153,Obv
P337153_26_256_256.jpg,277.0,370.0,364.0,450.0,737.0,26,P337153,Obv
P337153_26_256_256.jpg,357.0,357.0,470.0,436.0,248.0,26,P337153,Obv
P337153_26_256_256.jpg,0.0,447.0,109.0,512.0,495.0,26,P337153,Obv
P337153_26_256_256.jpg,102.0,442.0,231.0,512.0,553.0,26,P337153,Obv
P337153_26_256_256.jpg,222.0,433.0,393.0,508.0,300.0,26,P337153,Obv
P337153_26_256_256.jpg,406.0,427.0,512.0,500.0,490.0,26,P337153,Obv
P337153_26_256_512.jpg,75.0,11.0,149.0,93.0,851.0,26,P337153,Obv
P337153_26_256_512.jpg,156.0,6.0,218.0,86.0,839.0,26,P337153,Obv
P337153_26_256_512.jpg,0.0,79.0,77.0,167.0,110.0,26,P337153,Obv
P337153_26_256_512.jpg,51.0,77.0,134.0,165.0,755.0,26,P337153,Obv
P337153_26_256_512.jpg,125.0,75.0,224.0,150.0,85.0,26,P337153,Obv
P337153_26_256_512.jpg,34.0,150.0,138.0,229.0,296.0,26,P337153,Obv
P337153_26_256_512.jpg,130.0,152.0,232.0,226.0,181.0,26,P337153,Obv
P337153_26_256_512.jpg,0.0,239.0,55.0,284.0,1.0,26,P337153,Obv
P337153_26_256_512.jpg,60.0,227.0,121.0,292.0,708.0,26,P337153,Obv
P337153_26_256_512.jpg,109.0,218.0,178.0,293.0,578.0,26,P337153,Obv
P337153_26_256_512.jpg,171.0,240.0,196.0,279.0,1.0,26,P337153,Obv
P337153_26_256_512.jpg,192.0,219.0,256.0,311.0,151.0,26,P337153,Obv
P337153_26_256_512.jpg,38.0,288.0,85.0,358.0,661.0,26,P337153,Obv
P337153_26_256_512.jpg,85.0,286.0,194.0,366.0,150.0,26,P337153,Obv
P337153_26_256_512.jpg,21.0,370.0,108.0,450.0,737.0,26,P337153,Obv
P337153_26_256_512.jpg,101.0,357.0,214.0,436.0,248.0,26,P337153,Obv
P337153_26_256_512.jpg,0.0,433.0,137.0,508.0,300.0,26,P337153,Obv
P337153_26_256_512.jpg,150.0,427.0,265.0,500.0,490.0,26,P337153,Obv
P337153_26_512_0.jpg,188.0,0.0,282.0,62.0,566.0,26,P337153,Obv
P337153_26_512_0.jpg,280.0,0.0,324.0,55.0,748.0,26,P337153,Obv
P337153_26_512_0.jpg,314.0,3.0,348.0,42.0,1.0,26,P337153,Obv
P337153_26_512_0.jpg,341.0,0.0,418.0,58.0,151.0,26,P337153,Obv
P337153_26_512_0.jpg,216.0,60.0,292.0,129.0,10.0,26,P337153,Obv
P337153_26_512_0.jpg,273.0,49.0,373.0,129.0,887.0,26,P337153,Obv
P337153_26_512_0.jpg,362.0,51.0,452.0,124.0,828.0,26,P337153,Obv
P337153_26_512_0.jpg,195.0,126.0,243.0,207.0,839.0,26,P337153,Obv
P337153_26_512_0.jpg,248.0,122.0,298.0,207.0,839.0,26,P337153,Obv
P337153_26_512_0.jpg,296.0,125.0,404.0,187.0,358.0,26,P337153,Obv
P337153_26_512_0.jpg,406.0,116.0,465.0,187.0,869.0,26,P337153,Obv
P337153_26_512_0.jpg,192.0,203.0,252.0,248.0,1.0,26,P337153,Obv
P337153_26_512_0.jpg,255.0,191.0,365.0,261.0,495.0,26,P337153,Obv
P337153_26_512_0.jpg,358.0,186.0,487.0,261.0,553.0,26,P337153,Obv
P337153_26_512_256.jpg,24.0,0.0,68.0,55.0,748.0,26,P337153,Obv
P337153_26_512_256.jpg,58.0,3.0,92.0,42.0,1.0,26,P337153,Obv
P337153_26_512_256.jpg,85.0,0.0,162.0,58.0,151.0,26,P337153,Obv
P337153_26_512_256.jpg,17.0,49.0,117.0,129.0,887.0,26,P337153,Obv
P337153_26_512_256.jpg,106.0,51.0,196.0,124.0,828.0,26,P337153,Obv
P337153_26_512_256.jpg,198.0,29.0,306.0,117.0,15.0,26,P337153,Obv
P337153_26_512_256.jpg,294.0,32.0,341.0,102.0,661.0,26,P337153,Obv
P337153_26_512_256.jpg,341.0,30.0,450.0,110.0,150.0,26,P337153,Obv
P337153_26_512_256.jpg,0.0,122.0,42.0,207.0,839.0,26,P337153,Obv
P337153_26_512_256.jpg,40.0,125.0,148.0,187.0,358.0,26,P337153,Obv
P337153_26_512_256.jpg,150.0,116.0,209.0,187.0,869.0,26,P337153,Obv
P337153_26_512_256.jpg,228.0,139.0,278.0,173.0,1.0,26,P337153,Obv
P337153_26_512_256.jpg,277.0,114.0,364.0,194.0,737.0,26,P337153,Obv
P337153_26_512_256.jpg,357.0,101.0,470.0,180.0,248.0,26,P337153,Obv
P337153_26_512_256.jpg,0.0,191.0,109.0,261.0,495.0,26,P337153,Obv
P337153_26_512_256.jpg,102.0,186.0,231.0,261.0,553.0,26,P337153,Obv
P337153_26_512_256.jpg,222.0,177.0,393.0,252.0,300.0,26,P337153,Obv
P337153_26_512_256.jpg,406.0,171.0,512.0,244.0,490.0,26,P337153,Obv
P337153_26_512_512.jpg,38.0,32.0,85.0,102.0,661.0,26,P337153,Obv
P337153_26_512_512.jpg,85.0,30.0,194.0,110.0,150.0,26,P337153,Obv
P337153_26_512_512.jpg,21.0,114.0,108.0,194.0,737.0,26,P337153,Obv
P337153_26_512_512.jpg,101.0,101.0,214.0,180.0,248.0,26,P337153,Obv
P337153_26_512_512.jpg,0.0,177.0,137.0,252.0,300.0,26,P337153,Obv
P337153_26_512_512.jpg,150.0,171.0,265.0,244.0,490.0,26,P337153,Obv
P337153_31_0_0.jpg,197.0,323.0,341.0,394.0,490.0,31,P337153,Rev
P337153_31_0_0.jpg,188.0,388.0,320.0,475.0,514.0,31,P337153,Rev
P337153_31_0_0.jpg,313.0,392.0,422.0,472.0,92.0,31,P337153,Rev
P337153_31_0_256.jpg,57.0,392.0,166.0,472.0,92.0,31,P337153,Rev
P337153_31_0_512.jpg,,,,,,31,P337153,Rev
P337153_31_256_0.jpg,197.0,67.0,341.0,138.0,490.0,31,P337153,Rev
P337153_31_256_0.jpg,188.0,132.0,320.0,219.0,514.0,31,P337153,Rev
P337153_31_256_0.jpg,313.0,136.0,422.0,216.0,92.0,31,P337153,Rev
P337153_31_256_0.jpg,186.0,212.0,311.0,293.0,514.0,31,P337153,Rev
P337153_31_256_0.jpg,302.0,204.0,396.0,297.0,92.0,31,P337153,Rev
P337153_31_256_0.jpg,392.0,213.0,497.0,288.0,566.0,31,P337153,Rev
P337153_31_256_0.jpg,193.0,294.0,262.0,370.0,380.0,31,P337153,Rev
P337153_31_256_0.jpg,265.0,299.0,381.0,379.0,136.0,31,P337153,Rev
P337153_31_256_0.jpg,372.0,289.0,467.0,375.0,111.0,31,P337153,Rev
P337153_31_256_0.jpg,282.0,371.0,434.0,451.0,887.0,31,P337153,Rev
P337153_31_256_0.jpg,428.0,365.0,512.0,450.0,484.0,31,P337153,Rev
P337153_31_256_0.jpg,235.0,443.0,308.0,512.0,10.0,31,P337153,Rev
P337153_31_256_0.jpg,286.0,438.0,375.0,512.0,596.0,31,P337153,Rev
P337153_31_256_0.jpg,357.0,440.0,422.0,512.0,724.0,31,P337153,Rev
P337153_31_256_0.jpg,413.0,441.0,492.0,512.0,110.0,31,P337153,Rev
P337153_31_256_256.jpg,57.0,136.0,166.0,216.0,92.0,31,P337153,Rev
P337153_31_256_256.jpg,46.0,204.0,140.0,297.0,92.0,31,P337153,Rev
P337153_31_256_256.jpg,136.0,213.0,241.0,288.0,566.0,31,P337153,Rev
P337153_31_256_256.jpg,9.0,299.0,125.0,379.0,136.0,31,P337153,Rev
P337153_31_256_256.jpg,116.0,289.0,211.0,375.0,111.0,31,P337153,Rev
P337153_31_256_256.jpg,202.0,294.0,298.0,374.0,828.0,31,P337153,Rev
P337153_31_256_256.jpg,291.0,283.0,401.0,379.0,380.0,31,P337153,Rev
P337153_31_256_256.jpg,26.0,371.0,178.0,451.0,887.0,31,P337153,Rev
P337153_31_256_256.jpg,172.0,365.0,282.0,450.0,484.0,31,P337153,Rev
P337153_31_256_256.jpg,290.0,359.0,431.0,451.0,720.0,31,P337153,Rev
P337153_31_256_256.jpg,419.0,367.0,512.0,441.0,89.0,31,P337153,Rev
P337153_31_256_256.jpg,30.0,438.0,119.0,512.0,596.0,31,P337153,Rev
