segm_idx,tablet_CDLI,view_desc,collection,mzl_label,train_label,bbox,relative_bbox
1602,P334839,Obv,saa05,839,11,"[740, 432, 779, 469]","[177, 118, 216, 155]"
1602,P334839,Obv,saa05,98,41,"[687, 435, 743, 477]","[124, 121, 180, 163]"
1602,P334839,Obv,saa05,313,46,"[704, 470, 828, 520]","[141, 156, 265, 206]"
1602,P334839,Obv,saa05,578,98,"[626, 528, 664, 582]","[63, 214, 101, 268]"
1602,P334839,Obv,saa05,574,327,"[661, 515, 734, 586]","[98, 201, 171, 272]"
1602,P334839,Obv,saa05,839,11,"[729, 518, 770, 569]","[166, 204, 207, 255]"
1602,P334839,Obv,saa05,839,11,"[764, 512, 810, 572]","[201, 198, 247, 258]"
1602,P334839,Obv,saa05,358,21,"[659, 628, 722, 685]","[96, 314, 159, 371]"
1602,P334839,Obv,saa05,71,193,"[724, 617, 817, 675]","[161, 303, 254, 361]"
1602,P334839,Obv,saa05,248,5,"[633, 576, 716, 630]","[70, 262, 153, 316]"
1602,P334839,Obv,saa05,812,82,"[582, 699, 631, 762]","[19, 385, 68, 448]"
1602,P334839,Obv,saa05,380,62,"[627, 688, 705, 745]","[64, 374, 142, 431]"
1602,P334839,Obv,saa05,815,164,"[698, 679, 775, 745]","[135, 365, 212, 431]"
1602,P334839,Obv,saa05,839,11,"[769, 665, 826, 731]","[206, 351, 263, 417]"
1602,P334839,Obv,saa05,464,113,"[649, 740, 715, 792]","[86, 426, 152, 478]"
1602,P334839,Obv,saa05,724,79,"[804, 722, 861, 777]","[241, 408, 298, 463]"
1602,P334839,Obv,saa05,132,90,"[617, 798, 679, 854]","[54, 484, 116, 540]"
1602,P334839,Obv,saa05,24,58,"[721, 780, 822, 835]","[158, 466, 259, 521]"
1602,P334839,Obv,saa05,839,11,"[815, 773, 859, 829]","[252, 459, 296, 515]"
1602,P334839,Obv,saa05,380,62,"[665, 848, 724, 895]","[102, 534, 161, 581]"
1602,P334839,Obv,saa05,869,10,"[711, 836, 760, 897]","[148, 522, 197, 583]"
1602,P334839,Obv,saa05,552,13,"[755, 832, 813, 885]","[192, 518, 250, 571]"
1602,P334839,Obv,saa05,839,11,"[806, 821, 857, 879]","[243, 507, 294, 565]"
1602,P334839,Obv,saa05,248,5,"[757, 876, 850, 936]","[194, 562, 287, 622]"
