segm_idx,tablet_CDLI,view_desc,collection,mzl_label,train_label,bbox,relative_bbox
5,VAT08803Vs,Obv,train,15,109,"[2895, 5073, 3102, 5198]","[2895, 5073, 3102, 5198]"
5,VAT08803Vs,Obv,train,297,115,"[2587, 5031, 2877, 5176]","[2587, 5031, 2877, 5176]"
5,VAT08803Vs,Obv,train,223,116,"[1863, 5021, 2113, 5169]","[1863, 5021, 2113, 5169]"
5,VAT08803Vs,Obv,train,89,108,"[1454, 5002, 1666, 5135]","[1454, 5002, 1666, 5135]"
5,VAT08803Vs,Obv,train,491,102,"[1720, 4885, 1963, 5015]","[1720, 4885, 1963, 5015]"
5,VAT08803Vs,Obv,train,184,104,"[2384, 4789, 2684, 4924]","[2384, 4789, 2684, 4924]"
5,VAT08803Vs,Obv,train,755,117,"[1570, 4747, 1779, 4893]","[1570, 4747, 1779, 4893]"
5,VAT08803Vs,Obv,train,856,111,"[2395, 4528, 2562, 4684]","[2395, 4528, 2562, 4684]"
5,VAT08803Vs,Obv,train,411,118,"[1096, 4358, 1300, 4508]","[1096, 4358, 1300, 4508]"
5,VAT08803Vs,Obv,train,266,119,"[913, 4361, 1101, 4514]","[913, 4361, 1101, 4514]"
5,VAT08803Vs,Obv,train,351,120,"[592, 4358, 840, 4512]","[592, 4358, 840, 4512]"
5,VAT08803Vs,Obv,train,464,113,"[482, 4356, 604, 4518]","[482, 4356, 604, 4518]"
5,VAT08803Vs,Obv,train,560,121,"[2424, 4266, 2693, 4419]","[2424, 4266, 2693, 4419]"
5,VAT08803Vs,Obv,train,672,122,"[1713, 4276, 1883, 4410]","[1713, 4276, 1883, 4410]"
5,VAT08803Vs,Obv,train,354,123,"[1404, 4227, 1592, 4392]","[1404, 4227, 1592, 4392]"
5,VAT08803Vs,Obv,train,181,107,"[1267, 4248, 1416, 4389]","[1267, 4248, 1416, 4389]"
5,VAT08803Vs,Obv,train,354,123,"[670, 4219, 885, 4364]","[670, 4219, 885, 4364]"
5,VAT08803Vs,Obv,train,560,121,"[487, 4207, 725, 4370]","[487, 4207, 725, 4370]"
5,VAT08803Vs,Obv,train,253,124,"[1753, 4140, 1917, 4278]","[1753, 4140, 1917, 4278]"
5,VAT08803Vs,Obv,train,729,125,"[1324, 4095, 1553, 4255]","[1324, 4095, 1553, 4255]"
5,VAT08803Vs,Obv,train,496,126,"[1182, 4101, 1362, 4247]","[1182, 4101, 1362, 4247]"
5,VAT08803Vs,Obv,train,729,125,"[581, 4077, 845, 4225]","[581, 4077, 845, 4225]"
5,VAT08803Vs,Obv,train,833,127,"[373, 4088, 620, 4215]","[373, 4088, 620, 4215]"
5,VAT08803Vs,Obv,train,672,122,"[2462, 4010, 2824, 4124]","[2462, 4010, 2824, 4124]"
5,VAT08803Vs,Obv,train,502,128,"[417, 3948, 631, 4099]","[417, 3948, 631, 4099]"
5,VAT08803Vs,Obv,train,91,129,"[543, 3826, 784, 3965]","[543, 3826, 784, 3965]"
5,VAT08803Vs,Obv,train,807,114,"[2320, 3708, 2515, 3869]","[2320, 3708, 2515, 3869]"
5,VAT08803Vs,Obv,train,223,116,"[2233, 3581, 2478, 3731]","[2233, 3581, 2478, 3731]"
5,VAT08803Vs,Obv,train,501,130,"[724, 3562, 906, 3707]","[724, 3562, 906, 3707]"
5,VAT08803Vs,Obv,train,745,131,"[1164, 3430, 1348, 3580]","[1164, 3430, 1348, 3580]"
5,VAT08803Vs,Obv,train,292,132,"[2281, 3289, 2490, 3449]","[2281, 3289, 2490, 3449]"
5,VAT08803Vs,Obv,train,745,131,"[596, 3299, 745, 3441]","[596, 3299, 745, 3441]"
5,VAT08803Vs,Obv,train,26,133,"[414, 3291, 641, 3436]","[414, 3291, 641, 3436]"
5,VAT08803Vs,Obv,train,357,134,"[2418, 3151, 2681, 3300]","[2418, 3151, 2681, 3300]"
5,VAT08803Vs,Obv,train,632,135,"[1265, 3153, 1390, 3319]","[1265, 3153, 1390, 3319]"
5,VAT08803Vs,Obv,train,591,136,"[1033, 3183, 1188, 3311]","[1033, 3183, 1188, 3311]"
5,VAT08803Vs,Obv,train,466,137,"[776, 3167, 1090, 3325]","[776, 3167, 1090, 3325]"
5,VAT08803Vs,Obv,train,591,136,"[549, 3168, 698, 3299]","[549, 3168, 698, 3299]"
5,VAT08803Vs,Obv,train,387,138,"[2669, 2990, 2911, 3152]","[2669, 2990, 2911, 3152]"
5,VAT08803Vs,Obv,train,387,138,"[2440, 3021, 2659, 3179]","[2440, 3021, 2659, 3179]"
5,VAT08803Vs,Obv,train,297,115,"[2624, 2879, 2921, 3015]","[2624, 2879, 2921, 3015]"
5,VAT08803Vs,Obv,train,543,139,"[912, 2903, 1110, 3051]","[912, 2903, 1110, 3051]"
5,VAT08803Vs,Obv,train,484,99,"[1237, 2774, 1455, 2916]","[1237, 2774, 1455, 2916]"
5,VAT08803Vs,Obv,train,92,140,"[1164, 2508, 1451, 2668]","[1164, 2508, 1451, 2668]"
5,VAT08803Vs,Obv,train,378,141,"[2742, 2337, 2974, 2496]","[2742, 2337, 2974, 2496]"
