segm_idx,tablet_CDLI,view_desc,collection,mzl_label,train_label,bbox,relative_bbox
3,VAT10657,,train,558,179,"[2598, 570, 2944, 790]","[2598, 570, 2944, 790]"
3,VAT10657,,train,339,192,"[2670, 732, 3198, 944]","[2670, 732, 3198, 944]"
3,VAT10657,,train,167,231,"[2718, 894, 3116, 1086]","[2718, 894, 3116, 1086]"
3,VAT10657,,train,246,232,"[1480, 1304, 1750, 1506]","[1480, 1304, 1750, 1506]"
3,VAT10657,,train,301,233,"[1766, 1814, 2162, 2028]","[1766, 1814, 2162, 2028]"
3,VAT10657,,train,583,234,"[1878, 1996, 2252, 2220]","[1878, 1996, 2252, 2220]"
3,VAT10657,,train,223,116,"[3710, 194, 4058, 342]","[3206, 194, 3554, 342]"
3,VAT10657,,train,5,184,"[4032, 202, 4418, 348]","[3528, 202, 3914, 348]"
3,VAT10657,,train,698,37,"[3380, 216, 3708, 328]","[2876, 216, 3204, 328]"
3,VAT10657,,train,380,62,"[3126, 286, 3416, 494]","[2622, 286, 2912, 494]"
3,VAT10657,,train,698,37,"[3424, 318, 3880, 518]","[2920, 318, 3376, 518]"
3,VAT10657,,train,252,80,"[3854, 322, 4158, 496]","[3350, 322, 3654, 496]"
3,VAT10657,,train,511,42,"[2510, 262, 2952, 472]","[2006, 262, 2448, 472]"
3,VAT10657,,train,552,13,"[2912, 270, 3152, 458]","[2408, 270, 2648, 458]"
3,VAT10657,,train,812,82,"[2240, 426, 2516, 598]","[1736, 426, 2012, 598]"
3,VAT10657,,train,110,4,"[2836, 436, 3242, 606]","[2332, 436, 2738, 606]"
3,VAT10657,,train,736,77,"[3450, 478, 3848, 644]","[2946, 478, 3344, 644]"
3,VAT10657,,train,808,38,"[1878, 584, 2220, 762]","[1374, 584, 1716, 762]"
3,VAT10657,,train,181,107,"[2246, 586, 2630, 786]","[1742, 586, 2126, 786]"
3,VAT10657,,train,558,179,"[2598, 570, 2944, 790]","[2094, 570, 2440, 790]"
3,VAT10657,,train,466,137,"[3018, 596, 3570, 788]","[2514, 596, 3066, 788]"
3,VAT10657,,train,120,49,"[2126, 744, 2668, 932]","[1622, 744, 2164, 932]"
3,VAT10657,,train,631,94,"[1924, 742, 2136, 944]","[1420, 742, 1632, 944]"
3,VAT10657,,train,598,155,"[1558, 766, 1940, 946]","[1054, 766, 1436, 946]"
