segm_idx,tablet_CDLI,view_desc,collection,mzl_label,train_label,bbox,relative_bbox
2,VAT11100Rs,Rev,train,556,217,"[1847, 2365, 2052, 2491]","[1847, 2365, 2052, 2491]"
2,VAT11100Rs,Rev,train,498,19,"[1056, 2889, 1244, 2992]","[1040, 2699, 1228, 2802]"
2,VAT11100Rs,Rev,train,839,11,"[1257, 2879, 1376, 3037]","[1241, 2689, 1360, 2847]"
2,VAT11100Rs,Rev,train,111,8,"[1252, 2725, 1436, 2863]","[1236, 2535, 1420, 2673]"
2,VAT11100Rs,Rev,train,580,87,"[1411, 2757, 1664, 2872]","[1395, 2567, 1648, 2682]"
2,VAT11100Rs,Rev,train,490,30,"[1651, 2772, 1897, 2883]","[1635, 2582, 1881, 2693]"
2,VAT11100Rs,Rev,train,695,53,"[1068, 2727, 1271, 2892]","[1052, 2537, 1255, 2702]"
2,VAT11100Rs,Rev,train,736,77,"[1351, 2859, 1517, 3012]","[1335, 2669, 1501, 2822]"
2,VAT11100Rs,Rev,train,139,152,"[1496, 2892, 1767, 3007]","[1480, 2702, 1751, 2817]"
2,VAT11100Rs,Rev,train,825,51,"[1961, 2641, 2077, 2773]","[1945, 2451, 2061, 2583]"
2,VAT11100Rs,Rev,train,839,11,"[2089, 2615, 2172, 2757]","[2073, 2425, 2156, 2567]"
2,VAT11100Rs,Rev,train,724,79,"[1804, 2648, 1960, 2775]","[1788, 2458, 1944, 2585]"
2,VAT11100Rs,Rev,train,839,11,"[1616, 2639, 1748, 2789]","[1600, 2449, 1732, 2599]"
2,VAT11100Rs,Rev,train,567,96,"[940, 2617, 1119, 2751]","[924, 2427, 1103, 2561]"
2,VAT11100Rs,Rev,train,504,178,"[1145, 2603, 1397, 2732]","[1129, 2413, 1381, 2542]"
2,VAT11100Rs,Rev,train,511,42,"[1384, 2619, 1613, 2737]","[1368, 2429, 1597, 2547]"
2,VAT11100Rs,Rev,train,498,19,"[672, 2608, 845, 2729]","[656, 2418, 829, 2539]"
2,VAT11100Rs,Rev,train,737,100,"[529, 2604, 667, 2720]","[513, 2414, 651, 2530]"
2,VAT11100Rs,Rev,train,111,8,"[496, 2455, 660, 2592]","[480, 2265, 644, 2402]"
2,VAT11100Rs,Rev,train,339,192,"[708, 2473, 944, 2604]","[692, 2283, 928, 2414]"
2,VAT11100Rs,Rev,train,504,178,"[931, 2475, 1153, 2607]","[915, 2285, 1137, 2417]"
2,VAT11100Rs,Rev,train,358,21,"[1147, 2484, 1315, 2603]","[1131, 2294, 1299, 2413]"
2,VAT11100Rs,Rev,train,260,84,"[1325, 2492, 1565, 2628]","[1309, 2302, 1549, 2438]"
2,VAT11100Rs,Rev,train,490,30,"[1572, 2503, 1775, 2623]","[1556, 2313, 1759, 2433]"
2,VAT11100Rs,Rev,train,859,1,"[1752, 2507, 1888, 2667]","[1736, 2317, 1872, 2477]"
2,VAT11100Rs,Rev,train,297,115,"[1865, 2509, 2077, 2627]","[1849, 2319, 2061, 2437]"
2,VAT11100Rs,Rev,train,238,157,"[617, 2329, 840, 2483]","[601, 2139, 824, 2293]"
2,VAT11100Rs,Rev,train,753,81,"[803, 2349, 1009, 2476]","[787, 2159, 993, 2286]"
2,VAT11100Rs,Rev,train,839,11,"[999, 2351, 1123, 2473]","[983, 2161, 1107, 2283]"
2,VAT11100Rs,Rev,train,889,91,"[1116, 2348, 1353, 2476]","[1100, 2158, 1337, 2286]"
2,VAT11100Rs,Rev,train,98,41,"[1333, 2356, 1491, 2480]","[1317, 2166, 1475, 2290]"
2,VAT11100Rs,Rev,train,552,13,"[1481, 2361, 1659, 2493]","[1465, 2171, 1643, 2303]"
2,VAT11100Rs,Rev,train,596,39,"[2037, 2371, 2135, 2509]","[2021, 2181, 2119, 2319]"
2,VAT11100Rs,Rev,train,753,81,"[2132, 2369, 2201, 2493]","[2116, 2179, 2185, 2303]"
2,VAT11100Rs,Rev,train,556,217,"[1847, 2365, 2052, 2491]","[1831, 2175, 2036, 2301]"
2,VAT11100Rs,Rev,train,141,7,"[1676, 2360, 1855, 2500]","[1660, 2170, 1839, 2310]"
2,VAT11100Rs,Rev,train,737,100,"[359, 2200, 519, 2329]","[343, 2010, 503, 2139]"
2,VAT11100Rs,Rev,train,248,5,"[511, 2196, 697, 2340]","[495, 2006, 681, 2150]"
2,VAT11100Rs,Rev,train,839,11,"[695, 2189, 804, 2347]","[679, 1999, 788, 2157]"
2,VAT11100Rs,Rev,train,839,11,"[812, 2196, 913, 2351]","[796, 2006, 897, 2161]"
2,VAT11100Rs,Rev,train,661,16,"[881, 2215, 975, 2325]","[865, 2025, 959, 2135]"
2,VAT11100Rs,Rev,train,812,82,"[983, 2201, 1192, 2335]","[967, 2011, 1176, 2145]"
2,VAT11100Rs,Rev,train,252,80,"[1199, 2235, 1349, 2340]","[1183, 2045, 1333, 2150]"
2,VAT11100Rs,Rev,train,596,39,"[1547, 2227, 1708, 2359]","[1531, 2037, 1692, 2169]"
2,VAT11100Rs,Rev,train,578,98,"[1815, 2253, 1957, 2369]","[1799, 2063, 1941, 2179]"
2,VAT11100Rs,Rev,train,207,69,"[1348, 2231, 1569, 2355]","[1332, 2041, 1553, 2165]"
2,VAT11100Rs,Rev,train,511,42,"[1832, 2099, 2061, 2236]","[1816, 1909, 2045, 2046]"
2,VAT11100Rs,Rev,train,558,179,"[1520, 2092, 1761, 2233]","[1504, 1902, 1745, 2043]"
2,VAT11100Rs,Rev,train,132,90,"[851, 2049, 1008, 2185]","[835, 1859, 992, 1995]"
2,VAT11100Rs,Rev,train,98,41,"[1136, 2083, 1305, 2201]","[1120, 1893, 1289, 2011]"
2,VAT11100Rs,Rev,train,112,17,"[716, 2037, 869, 2183]","[700, 1847, 853, 1993]"
2,VAT11100Rs,Rev,train,248,5,"[535, 2040, 723, 2173]","[519, 1850, 707, 1983]"
2,VAT11100Rs,Rev,train,839,11,"[1001, 1920, 1108, 2080]","[985, 1730, 1092, 1890]"
2,VAT11100Rs,Rev,train,856,111,"[1115, 1927, 1253, 2081]","[1099, 1737, 1237, 1891]"
2,VAT11100Rs,Rev,train,839,11,"[1288, 1916, 1395, 2081]","[1272, 1726, 1379, 1891]"
2,VAT11100Rs,Rev,train,552,13,"[2099, 1813, 2229, 1904]","[2083, 1623, 2213, 1714]"
2,VAT11100Rs,Rev,train,134,6,"[1849, 1821, 2035, 1945]","[1833, 1631, 2019, 1755]"
2,VAT11100Rs,Rev,train,260,84,"[407, 1780, 579, 1896]","[391, 1590, 563, 1706]"
2,VAT11100Rs,Rev,train,259,195,"[232, 1809, 397, 1917]","[216, 1619, 381, 1727]"
2,VAT11100Rs,Rev,train,839,11,"[1859, 1557, 1945, 1665]","[1843, 1367, 1929, 1475]"
2,VAT11100Rs,Rev,train,859,1,"[1803, 1411, 1924, 1556]","[1787, 1221, 1908, 1366]"
2,VAT11100Rs,Rev,train,15,109,"[1852, 1275, 2016, 1399]","[1836, 1085, 2000, 1209]"
2,VAT11100Rs,Rev,train,869,10,"[1303, 2064, 1440, 2216]","[1287, 1874, 1424, 2026]"
