segm_idx,tablet_CDLI,view_desc,collection,bbox,scale,assigned
0,P313634,Rev,saa09,"[295, 46, 658, 610]",3.55,True
7,P333952,Obv,saa09,"[527, 30, 1973, 1848]",3.5,True
19,P336678,Obv,saa09,"[385, 349, 1172, 1293]",1.44,True
23,P336678,Rev,saa09,"[403, 1627, 1180, 2566]",1.44,True
26,P337153,Obv,saa09,"[464, 504, 1222, 1167]",1.78,True
31,P337153,Rev,saa09,"[469, 2164, 1213, 2821]",1.78,True
49,P337163,Obv,saa09,"[555, 153, 1261, 1317]",3.29,True
52,P337163,Rev,saa09,"[546, 1603, 1250, 2773]",3.29,True
57,P334828,Rev,saa09,"[697, 76, 1441, 351]",2.93,True
60,P334828,Obv,saa09,"[704, 435, 1483, 856]",2.93,True
96,P314355,Rev,saa09,"[440, 429, 982, 1427]",1.22,True
98,P314355,Obv,saa09,"[442, 1828, 943, 2823]",1.22,True
4,P334059,Obv,saa10,"[450, 235, 725, 694]",3.44,True
9,P334059,Rev,saa10,"[454, 1036, 725, 1491]",3.44,True
14,P334908,Obv,saa10,"[692, 344, 1260, 1136]",1.85,True
19,P334908,Rev,saa10,"[716, 1457, 1246, 2220]",1.85,True
22,P334473,Obv,saa10,"[316, 62, 754, 596]",2.26,True
26,P334473,Rev,saa10,"[312, 881, 757, 1396]",2.26,True
39,P314342,Obv,saa10,"[262, 63, 943, 408]",2.49,True
43,P314342,Rev,saa10,"[263, 705, 935, 1053]",2.49,True
52,P333956,Obv,saa10,"[487, 87, 798, 698]",3.11,True
57,P333956,Rev,saa10,"[492, 1227, 807, 1838]",3.11,True
61,P334478,Obv,saa10,"[418, 81, 878, 776]",2.87,True
65,P334478,Rev,saa10,"[430, 1170, 870, 1869]",2.87,True
70,P334148,Rev,saa10,"[398, 195, 666, 646]",4.0,True
76,P334148,Obv,saa10,"[395, 949, 685, 1410]",4.0,True
81,P334424,Obv,saa10,"[963, 290, 1532, 1190]",1.9,True
88,P334424,Rev,saa10,"[962, 1811, 1537, 2717]",1.9,True
93,P333958,Obv,saa10,"[677, 352, 1283, 1441]",3.19,True
101,P333958,Rev,saa10,"[681, 2162, 1283, 3243]",3.19,True
107,P237694,Obv,saa10,"[340, 325, 906, 1295]",2.11,True
110,P237694,Rev,saa10,"[373, 1564, 939, 2544]",2.11,True
111,P334477,Obv,saa10,"[414, 62, 1085, 1286]",3.76,True
115,P334477,Rev,saa10,"[411, 1660, 1062, 2874]",3.76,True
118,P334509,Obv,saa10,"[302, 64, 590, 527]",3.52,True
122,P334509,Rev,saa10,"[304, 766, 592, 1233]",3.52,True
126,P334530,Obv,saa10,"[243, 69, 644, 708]",4.0,True
134,P334530,Rev,saa10,"[368, 1120, 643, 1609]",4.0,True
140,P334009,Obv,saa10,"[506, 503, 1069, 1175]",2.57,True
144,P334009,Rev,saa10,"[523, 1493, 1093, 2158]",2.57,True
150,P334672,Obv,saa10,"[290, 98, 726, 422]",2.96,True
154,P334672,Rev,saa10,"[281, 1086, 705, 1422]",2.96,True
158,P334002,Obv,saa10,"[615, 323, 1024, 977]",2.87,True
162,P334002,Rev,saa10,"[632, 1230, 1026, 1872]",2.87,True
174,P334911,Obv,saa10,"[1003, 326, 1509, 960]",1.96,True
176,P334911,Rev,saa10,"[1005, 1318, 1515, 1996]",1.96,True
185,P333953,Obv,saa10,"[716, 159, 1163, 991]",2.88,True
189,P333953,Rev,saa10,"[705, 1177, 1141, 1995]",2.88,True
196,P313592,Obv,saa10,"[440, 172, 1288, 604]",2.62,True
201,P313592,Rev,saa10,"[469, 1430, 1314, 1852]",2.62,True
204,P334487,Obv,saa10,"[422, 74, 805, 850]",1.94,True
208,P334487,Rev,saa10,"[418, 1270, 782, 2058]",1.94,True
213,P313649,Obv,saa10,"[444, 84, 1133, 749]",2.02,True
223,P333963,Obv,saa10,"[586, 114, 999, 905]",2.08,True
229,P333963,Rev,saa10,"[589, 1363, 999, 2149]",2.08,True
233,P334000,Obv,saa10,"[1048, 585, 1771, 1434]",1.62,True
241,P334000,Rev,saa10,"[1047, 1880, 1788, 2739]",1.62,True
246,P334456,Obv,saa10,"[279, 62, 825, 1008]",1.57,True
262,P313621,Obv,saa10,"[350, 62, 729, 503]",2.14,True
266,P313621,Rev,saa10,"[354, 765, 733, 1220]",2.14,True
274,P334058,Obv,saa10,"[509, 263, 869, 921]",3.2,True
282,P334058,Rev,saa10,"[512, 1510, 872, 2161]",3.2,True
287,P334428,Obv,saa10,"[155, 193, 1592, 2188]",1.75,True
291,P334428,Rev,saa10,"[655, 2106, 1232, 3888]",1.75,True
295,P334733,Obv,saa10,"[258, 55, 621, 554]",3.67,True
